FID,the_geom,NAME,ADM0_NM,OSM_ID,TYPE,ADM2_NAME,ADM2_CODE,ADM1_NAME,ADM1_CODE,CNTRY_CODE,
lbr_stle_pt_osm_settlements.1,POINT (-8.5123283 6.2711076),Duogee,LIBERIA,node/1345759528,village,B'hai,LBR1514,Grand Gedeh,LBR15,LBR,
lbr_stle_pt_osm_settlements.2,POINT (-8.48748 6.26426),Tian,LIBERIA,node/1345759532,village,B'hai,LBR1514,Grand Gedeh,LBR15,LBR,
lbr_stle_pt_osm_settlements.3,POINT (-8.5570558 6.4070721),Toe,LIBERIA,node/1345759536,town,B'hai,LBR1514,Grand Gedeh,LBR15,LBR,
lbr_stle_pt_osm_settlements.4,POINT (-8.620556 6.440278),Baibli,LIBERIA,node/3049440915,hamlet,B'hai,LBR1514,Grand Gedeh,LBR15,LBR,
lbr_stle_pt_osm_settlements.5,POINT (-8.575556 6.433611),Bakabli,LIBERIA,node/3049440916,hamlet,B'hai,LBR1514,Grand Gedeh,LBR15,LBR,
lbr_stle_pt_osm_settlements.6,POINT (-8.6 6.466667),Basobli,LIBERIA,node/3049440918,hamlet,B'hai,LBR1514,Grand Gedeh,LBR15,LBR,
lbr_stle_pt_osm_settlements.7,POINT (-8.5381087 6.4421123),Goyeazon,LIBERIA,node/3049440919,hamlet,B'hai,LBR1514,Grand Gedeh,LBR15,LBR,
lbr_stle_pt_osm_settlements.8,POINT (-8.583056 6.435556),Biah Number Two,LIBERIA,node/3049440920,hamlet,B'hai,LBR1514,Grand Gedeh,LBR15,LBR,
lbr_stle_pt_osm_settlements.9,POINT (-8.6130182 6.466961),Blown,LIBERIA,node/3049440921,hamlet,B'hai,LBR1514,Grand Gedeh,LBR15,LBR,
lbr_stle_pt_osm_settlements.10,POINT (-8.569167 6.467778),Neka,LIBERIA,node/3049441934,hamlet,B'hai,LBR1514,Grand Gedeh,LBR15,LBR,
lbr_stle_pt_osm_settlements.11,POINT (-8.55 6.366667),Poni,LIBERIA,node/3049441936,hamlet,B'hai,LBR1514,Grand Gedeh,LBR15,LBR,
lbr_stle_pt_osm_settlements.12,POINT (-8.5541366 6.3182442),Sennehwen,LIBERIA,node/3049441939,hamlet,B'hai,LBR1514,Grand Gedeh,LBR15,LBR,
lbr_stle_pt_osm_settlements.13,POINT (-8.545833 6.378056),Tilo,LIBERIA,node/3049441940,hamlet,B'hai,LBR1514,Grand Gedeh,LBR15,LBR,
lbr_stle_pt_osm_settlements.14,POINT (-8.575 6.383889),Walto,LIBERIA,node/3049441943,hamlet,B'hai,LBR1514,Grand Gedeh,LBR15,LBR,
lbr_stle_pt_osm_settlements.15,POINT (-8.616944 6.405833),Yema Town,LIBERIA,node/3049441944,hamlet,B'hai,LBR1514,Grand Gedeh,LBR15,LBR,
lbr_stle_pt_osm_settlements.16,POINT (-8.524167 6.463056),Zamu,LIBERIA,node/3049441945,hamlet,B'hai,LBR1514,Grand Gedeh,LBR15,LBR,
lbr_stle_pt_osm_settlements.17,POINT (-8.44043 6.34219),Joe,LIBERIA,node/3050995002,isolated_dwelling,B'hai,LBR1514,Grand Gedeh,LBR15,LBR,
lbr_stle_pt_osm_settlements.18,POINT (-8.457222 6.238056),Charley Goehn Town,LIBERIA,node/3051413038,hamlet,B'hai,LBR1514,Grand Gedeh,LBR15,LBR,
lbr_stle_pt_osm_settlements.19,POINT (-8.519167 6.265556),Sigae,LIBERIA,node/3051413055,hamlet,B'hai,LBR1514,Grand Gedeh,LBR15,LBR,
lbr_stle_pt_osm_settlements.20,POINT (-9.6949242 5.5815757),,LIBERIA,node/2524515222,village,Fen River,LBR3604,Rivercess,LBR36,LBR,
lbr_stle_pt_osm_settlements.21,POINT (-9.6232848 5.5670866),Hammaton,LIBERIA,node/2528420794,hamlet,Fen River,LBR3604,Rivercess,LBR36,LBR,
lbr_stle_pt_osm_settlements.22,POINT (-9.6799249 5.5358607),Westa,LIBERIA,node/2528420800,hamlet,Fen River,LBR3604,Rivercess,LBR36,LBR,
lbr_stle_pt_osm_settlements.23,POINT (-9.700833 5.598889),Gega,LIBERIA,node/3018014439,hamlet,Fen River,LBR3604,Rivercess,LBR36,LBR,
lbr_stle_pt_osm_settlements.24,POINT (-9.7213873 5.5649596),Timbo,LIBERIA,node/3018014440,hamlet,Fen River,LBR3604,Rivercess,LBR36,LBR,
lbr_stle_pt_osm_settlements.25,POINT (-9.631944 5.608889),Tomobli,LIBERIA,node/3018014441,hamlet,Fen River,LBR3604,Rivercess,LBR36,LBR,
lbr_stle_pt_osm_settlements.26,POINT (-9.6593697 5.6064458),Sahn,LIBERIA,node/3018178499,hamlet,Fen River,LBR3604,Rivercess,LBR36,LBR,
lbr_stle_pt_osm_settlements.27,POINT (-9.6703632 5.5279848),Blabli,LIBERIA,node/3018178502,hamlet,Fen River,LBR3604,Rivercess,LBR36,LBR,
lbr_stle_pt_osm_settlements.28,POINT (-9.6716192 5.5498019),Garyeazohn,LIBERIA,node/3018178507,hamlet,Fen River,LBR3604,Rivercess,LBR36,LBR,
lbr_stle_pt_osm_settlements.29,POINT (-9.6604574 5.5218564),Gbolazaiah,LIBERIA,node/3018178520,hamlet,Fen River,LBR3604,Rivercess,LBR36,LBR,
lbr_stle_pt_osm_settlements.30,POINT (-9.6362527 5.5712075),Gofiabli,LIBERIA,node/3018197492,hamlet,Fen River,LBR3604,Rivercess,LBR36,LBR,
lbr_stle_pt_osm_settlements.31,POINT (-9.660762 5.5985549),Tapabli,LIBERIA,node/3018197493,hamlet,Fen River,LBR3604,Rivercess,LBR36,LBR,
lbr_stle_pt_osm_settlements.32,POINT (-9.6447187 5.534809),Boysen,LIBERIA,node/3018411785,hamlet,Fen River,LBR3604,Rivercess,LBR36,LBR,
lbr_stle_pt_osm_settlements.33,POINT (-9.6502567 5.5859935),Dasabli,LIBERIA,node/3018411787,hamlet,Fen River,LBR3604,Rivercess,LBR36,LBR,
lbr_stle_pt_osm_settlements.34,POINT (-9.6807091 5.5702322),Fewehn (2),LIBERIA,node/3018411788,hamlet,Fen River,LBR3604,Rivercess,LBR36,LBR,
lbr_stle_pt_osm_settlements.35,POINT (-9.666667 5.55),Giasabli,LIBERIA,node/3018411792,hamlet,Fen River,LBR3604,Rivercess,LBR36,LBR,
lbr_stle_pt_osm_settlements.36,POINT (-9.7 5.6),Pwabli,LIBERIA,node/3018411798,hamlet,Fen River,LBR3604,Rivercess,LBR36,LBR,
lbr_stle_pt_osm_settlements.37,POINT (-9.716667 5.566667),Wabli,LIBERIA,node/3018411802,hamlet,Fen River,LBR3604,Rivercess,LBR36,LBR,
lbr_stle_pt_osm_settlements.38,POINT (-8.7227636 6.7464148),Zuatuo,LIBERIA,node/1345739783,village,Boe & Quilla,LBR3320,Nimba,LBR33,LBR,
lbr_stle_pt_osm_settlements.39,POINT (-8.69596 6.97797),Mletontuo,LIBERIA,node/3023193829,hamlet,Boe & Quilla,LBR3320,Nimba,LBR33,LBR,
lbr_stle_pt_osm_settlements.40,POINT (-8.656389 6.94),Bople,LIBERIA,node/3023243336,hamlet,Boe & Quilla,LBR3320,Nimba,LBR33,LBR,
lbr_stle_pt_osm_settlements.41,POINT (-8.71411 6.95118),Lorplay,LIBERIA,node/3023243341,village,Boe & Quilla,LBR3320,Nimba,LBR33,LBR,
lbr_stle_pt_osm_settlements.42,POINT (-8.53472 6.86941),Kparlay,LIBERIA,node/3023309842,hamlet,Boe & Quilla,LBR3320,Nimba,LBR33,LBR,
lbr_stle_pt_osm_settlements.43,POINT (-8.651111 6.910556),Gonawia,LIBERIA,node/3023309844,hamlet,Boe & Quilla,LBR3320,Nimba,LBR33,LBR,
lbr_stle_pt_osm_settlements.44,POINT (-8.6728408 6.9141408),Gbarplay,LIBERIA,node/3023309846,village,Boe & Quilla,LBR3320,Nimba,LBR33,LBR,
lbr_stle_pt_osm_settlements.45,POINT (-8.7239013 6.9303026),Sankarplay,LIBERIA,node/3023309850,hamlet,Boe & Quilla,LBR3320,Nimba,LBR33,LBR,
lbr_stle_pt_osm_settlements.46,POINT (-8.6297859 6.8815654),Degota,LIBERIA,node/3023408585,hamlet,Boe & Quilla,LBR3320,Nimba,LBR33,LBR,
lbr_stle_pt_osm_settlements.47,POINT (-8.6599115 6.882058),Degota,LIBERIA,node/3023408586,hamlet,Boe & Quilla,LBR3320,Nimba,LBR33,LBR,
lbr_stle_pt_osm_settlements.48,POINT (-8.6609635 6.8243705),Blako,LIBERIA,node/3023417222,hamlet,Boe & Quilla,LBR3320,Nimba,LBR33,LBR,
lbr_stle_pt_osm_settlements.49,POINT (-8.7677448 6.8002733),Blevlavo,LIBERIA,node/3023417223,hamlet,Boe & Quilla,LBR3320,Nimba,LBR33,LBR,
lbr_stle_pt_osm_settlements.50,POINT (-8.6428675 6.8304162),Doblu,LIBERIA,node/3023417224,hamlet,Boe & Quilla,LBR3320,Nimba,LBR33,LBR,
lbr_stle_pt_osm_settlements.51,POINT (-8.6782782 6.8580145),Lorlay,LIBERIA,node/3023417227,hamlet,Boe & Quilla,LBR3320,Nimba,LBR33,LBR,
lbr_stle_pt_osm_settlements.52,POINT (-8.604167 6.828611),Paple,LIBERIA,node/3023417229,hamlet,Boe & Quilla,LBR3320,Nimba,LBR33,LBR,
lbr_stle_pt_osm_settlements.53,POINT (-8.60546 6.80522),Sarlay,LIBERIA,node/3023417230,hamlet,Boe & Quilla,LBR3320,Nimba,LBR33,LBR,
lbr_stle_pt_osm_settlements.54,POINT (-8.66556 6.79556),Toweh Town,LIBERIA,node/3023417232,village,Boe & Quilla,LBR3320,Nimba,LBR33,LBR,
lbr_stle_pt_osm_settlements.55,POINT (-8.5465522 6.8215643),Bongle,LIBERIA,node/3023420212,hamlet,Boe & Quilla,LBR3320,Nimba,LBR33,LBR,
lbr_stle_pt_osm_settlements.56,POINT (-8.5323717 6.8360364),Boe Tounwea,LIBERIA,node/3023420213,hamlet,Boe & Quilla,LBR3320,Nimba,LBR33,LBR,
lbr_stle_pt_osm_settlements.57,POINT (-8.6605241 6.6810809),Delapa,LIBERIA,node/3023468325,hamlet,Boe & Quilla,LBR3320,Nimba,LBR33,LBR,
lbr_stle_pt_osm_settlements.58,POINT (-8.69307 6.78138),Freetown,LIBERIA,node/3023468326,hamlet,Boe & Quilla,LBR3320,Nimba,LBR33,LBR,
lbr_stle_pt_osm_settlements.59,POINT (-8.666667 6.783333),Freetown,LIBERIA,node/3023468327,hamlet,Boe & Quilla,LBR3320,Nimba,LBR33,LBR,
lbr_stle_pt_osm_settlements.60,POINT (-8.7116402 6.7574505),Gblazio,LIBERIA,node/3023468329,hamlet,Boe & Quilla,LBR3320,Nimba,LBR33,LBR,
lbr_stle_pt_osm_settlements.61,POINT (-8.701097 6.7221734),Jesseple,LIBERIA,node/3023468332,hamlet,Boe & Quilla,LBR3320,Nimba,LBR33,LBR,
lbr_stle_pt_osm_settlements.62,POINT (-8.6279956 6.760243),Yoelay Town (1),LIBERIA,node/3023468334,hamlet,Boe & Quilla,LBR3320,Nimba,LBR33,LBR,
lbr_stle_pt_osm_settlements.63,POINT (-8.6175575 6.77464),Tarwea,LIBERIA,node/3023468336,hamlet,Boe & Quilla,LBR3320,Nimba,LBR33,LBR,
lbr_stle_pt_osm_settlements.64,POINT (-8.6290113 6.7492947),Yoli,LIBERIA,node/3023468337,hamlet,Boe & Quilla,LBR3320,Nimba,LBR33,LBR,
lbr_stle_pt_osm_settlements.65,POINT (-9.3715116 5.5728694),Bangbeh,LIBERIA,node/2524274708,hamlet,Beawor,LBR3610,Rivercess,LBR36,LBR,
lbr_stle_pt_osm_settlements.66,POINT (-9.496944 5.453333),Baliabli,LIBERIA,node/3018178500,hamlet,Beawor,LBR3610,Rivercess,LBR36,LBR,
lbr_stle_pt_osm_settlements.67,POINT (-9.496111 5.465),Farer Town,LIBERIA,node/3018178506,hamlet,Beawor,LBR3610,Rivercess,LBR36,LBR,
lbr_stle_pt_osm_settlements.68,POINT (-9.551111 5.472778),Nibwabli,LIBERIA,node/3018178515,hamlet,Beawor,LBR3610,Rivercess,LBR36,LBR,
lbr_stle_pt_osm_settlements.69,POINT (-9.94802 7.74645),Gouwarma,LIBERIA,node/3011697278,hamlet,Belleh,LBR4504,Gbarpolu,LBR45,LBR,
lbr_stle_pt_osm_settlements.70,POINT (-10.0375 7.74341),Sasasu,LIBERIA,node/3011701211,hamlet,Belleh,LBR4504,Gbarpolu,LBR45,LBR,
lbr_stle_pt_osm_settlements.71,POINT (-9.92004 7.69706),Gbeyanka,LIBERIA,node/3012473364,hamlet,Belleh,LBR4504,Gbarpolu,LBR45,LBR,
lbr_stle_pt_osm_settlements.72,POINT (-9.86398 7.51992),Manunvordor,LIBERIA,node/3012473365,hamlet,Belleh,LBR4504,Gbarpolu,LBR45,LBR,
lbr_stle_pt_osm_settlements.73,POINT (-9.84825 7.67513),Teikei,LIBERIA,node/3012473366,hamlet,Belleh,LBR4504,Gbarpolu,LBR45,LBR,
lbr_stle_pt_osm_settlements.74,POINT (-10.02215 7.66474),Lowoma,LIBERIA,node/3012473367,hamlet,Belleh,LBR4504,Gbarpolu,LBR45,LBR,
lbr_stle_pt_osm_settlements.75,POINT (-9.9965531 7.5195404),Fassama,LIBERIA,node/3012490580,hamlet,Belleh,LBR4504,Gbarpolu,LBR45,LBR,
lbr_stle_pt_osm_settlements.76,POINT (-10.05342 7.69572),Gatema,LIBERIA,node/3012490581,hamlet,Belleh,LBR4504,Gbarpolu,LBR45,LBR,
lbr_stle_pt_osm_settlements.77,POINT (-9.94714 7.39505),Sakpede,LIBERIA,node/3012490582,hamlet,Belleh,LBR4504,Gbarpolu,LBR45,LBR,
lbr_stle_pt_osm_settlements.78,POINT (-9.88798 7.61146),Kalata,LIBERIA,node/3012490583,hamlet,Belleh,LBR4504,Gbarpolu,LBR45,LBR,
lbr_stle_pt_osm_settlements.79,POINT (-9.9167796 7.5998059),Kenata,LIBERIA,node/3012490585,hamlet,Belleh,LBR4504,Gbarpolu,LBR45,LBR,
lbr_stle_pt_osm_settlements.80,POINT (-9.95811 7.54049),Konjade,LIBERIA,node/3012490586,hamlet,Belleh,LBR4504,Gbarpolu,LBR45,LBR,
lbr_stle_pt_osm_settlements.81,POINT (-10.033333 7.55),Baila,LIBERIA,node/3012524193,hamlet,Belleh,LBR4504,Gbarpolu,LBR45,LBR,
lbr_stle_pt_osm_settlements.82,POINT (-9.97389 7.57083),Belle Baloma,LIBERIA,node/3012524194,village,Belleh,LBR4504,Gbarpolu,LBR45,LBR,
lbr_stle_pt_osm_settlements.83,POINT (-9.99543 7.37354),Belleh Yallah,LIBERIA,node/3012524195,village,Belleh,LBR4504,Gbarpolu,LBR45,LBR,
