FID,the_geom,NAME,ADM2_NM,ADM1_NM,ADM0_NM,OSM_ID,TYPE,ADM3_NAME,ADM3_CODE,ADM2_CODE,ADM1_CODE,CNTRY_CODE
sle_stle_pt_osm_settlements.1,POINT (-11.4786509 8.0434458),,Bo,Southern,SIERRA LEONE,node/2039799561,village,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.2,POINT (-11.4676544 8.0518132),,Bo,Southern,SIERRA LEONE,node/2039799596,village,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.3,POINT (-11.4737808 8.0330847),,Bo,Southern,SIERRA LEONE,node/2039970630,village,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.4,POINT (-11.4497825 8.0399376),,Bo,Southern,SIERRA LEONE,node/2039970680,village,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.5,POINT (-11.4497183 8.0440919),,Bo,Southern,SIERRA LEONE,node/2039970710,village,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.6,POINT (-11.484578 8.0620828),,Bo,Southern,SIERRA LEONE,node/2039970717,village,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.7,POINT (-11.4656443 8.0700476),Jokibu,Bo,Southern,SIERRA LEONE,node/2039970910,hamlet,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.8,POINT (-11.4181217 8.1022175),Ngelehun,Bo,Southern,SIERRA LEONE,node/2039970921,village,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.9,POINT (-11.4492135 8.1113351),Baama,Bo,Southern,SIERRA LEONE,node/2039971186,hamlet,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.10,POINT (-11.4620778 8.1330813),Kpetema,Bo,Southern,SIERRA LEONE,node/2039971390,hamlet,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.11,POINT (-11.4827952 8.0729786),,Bo,Southern,SIERRA LEONE,node/2048130079,hamlet,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.12,POINT (-11.3821018 8.0892589),Nomiama,Bo,Southern,SIERRA LEONE,node/2049611562,village,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.13,POINT (-11.4622347 8.1061291),Dawambu,Bo,Southern,SIERRA LEONE,node/2049611604,hamlet,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.14,POINT (-11.3847899 8.1314643),Bompeworo,Bo,Southern,SIERRA LEONE,node/2049611640,village,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.15,POINT (-11.4459192 8.1311414),,Bo,Southern,SIERRA LEONE,node/2049727118,hamlet,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.16,POINT (-11.4287166 8.1406083),Buabu,Bo,Southern,SIERRA LEONE,node/2049727163,village,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.17,POINT (-11.4095586 8.1470483),,Bo,Southern,SIERRA LEONE,node/2049727180,village,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.18,POINT (-11.4150597 8.1477373),,Bo,Southern,SIERRA LEONE,node/2049727197,village,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.19,POINT (-11.4349396 8.1505154),Jagban,Bo,Southern,SIERRA LEONE,node/2049727221,village,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.20,POINT (-11.4432843 8.1711724),,Bo,Southern,SIERRA LEONE,node/2049727256,village,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.21,POINT (-11.4274519 8.0341744),Gumahun,Bo,Southern,SIERRA LEONE,node/2051369517,village,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.22,POINT (-11.368439 8.0623595),Boabu,Bo,Southern,SIERRA LEONE,node/2051369731,hamlet,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.23,POINT (-11.4290617 8.068673),Jawe,Bo,Southern,SIERRA LEONE,node/2051369794,hamlet,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.24,POINT (-11.4529613 8.0826106),,Bo,Southern,SIERRA LEONE,node/2051369946,hamlet,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.25,POINT (-11.4469966 8.0948397),Jahun,Bo,Southern,SIERRA LEONE,node/2051370205,hamlet,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.26,POINT (-11.3596245 8.0928014),Baoma,Bo,Southern,SIERRA LEONE,node/3021798122,hamlet,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.27,POINT (-11.3571976 8.0787184),Giehun,Bo,Southern,SIERRA LEONE,node/3021798127,hamlet,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.28,POINT (-11.339142 8.0643504),Koindu,Bo,Southern,SIERRA LEONE,node/3021798129,hamlet,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.29,POINT (-11.3394109 8.1006175),Korjehun,Bo,Southern,SIERRA LEONE,node/3021798131,hamlet,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.30,POINT (-11.3588112 8.1004435),Palima,Bo,Southern,SIERRA LEONE,node/3021799334,hamlet,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.31,POINT (-11.3540061 8.1170027),Periwahun,Bo,Southern,SIERRA LEONE,node/3021799335,hamlet,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.32,POINT (-11.483333 8.05),Fala,Bo,Southern,SIERRA LEONE,node/3046578282,hamlet,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.33,POINT (-11.5 8.05),Kondiama,Bo,Southern,SIERRA LEONE,node/3046578283,hamlet,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.34,POINT (-11.4750322 8.0335385),Kugbahun,Bo,Southern,SIERRA LEONE,node/3046578698,hamlet,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.35,POINT (-11.4501719 8.0421598),Yandama,Bo,Southern,SIERRA LEONE,node/3046578699,hamlet,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.36,POINT (-11.35 8.066667),Bokeni,Bo,Southern,SIERRA LEONE,node/3048426791,hamlet,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.37,POINT (-11.4 8.066667),Jaluahun,Bo,Southern,SIERRA LEONE,node/3048426792,hamlet,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.38,POINT (-11.3825946 8.1168136),Gondama,Bo,Southern,SIERRA LEONE,node/3049001234,hamlet,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.39,POINT (-11.4131245 8.1474884),Jeru,Bo,Southern,SIERRA LEONE,node/3049004361,hamlet,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.40,POINT (-11.433383 8.1166917),Sengima,Bo,Southern,SIERRA LEONE,node/3049371510,hamlet,Badjia,SLE030101,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.41,POINT (-11.9196816 7.5380929),Kassi,Bo,Southern,SIERRA LEONE,node/2036065493,hamlet,Bagbo,SLE030102,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.42,POINT (-11.9293793 7.535),Momajo,Bo,Southern,SIERRA LEONE,node/2036065500,village,Bagbo,SLE030102,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.43,POINT (-11.8888703 7.4835571),,Bo,Southern,SIERRA LEONE,node/2036066228,village,Bagbo,SLE030102,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.44,POINT (-11.8729445 7.5268083),Gbale,Bo,Southern,SIERRA LEONE,node/2163819248,hamlet,Bagbo,SLE030102,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.45,POINT (-11.9210362 7.5978039),Mowe,Bo,Southern,SIERRA LEONE,node/2163857833,hamlet,Bagbo,SLE030102,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.46,POINT (-11.9531188 7.599917),Naiagolehun,Bo,Southern,SIERRA LEONE,node/2163857874,hamlet,Bagbo,SLE030102,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.47,POINT (-11.8461614 7.5499202),Dandabu,Bo,Southern,SIERRA LEONE,node/2165419874,hamlet,Bagbo,SLE030102,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.48,POINT (-11.8695123 7.5564123),Mano,Bo,Southern,SIERRA LEONE,node/2165419980,village,Bagbo,SLE030102,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.49,POINT (-11.8519806 7.5923927),Mondoko,Bo,Southern,SIERRA LEONE,node/2165420123,hamlet,Bagbo,SLE030102,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.50,POINT (-11.9037991 7.6021153),,Bo,Southern,SIERRA LEONE,node/2165420170,village,Bagbo,SLE030102,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.51,POINT (-11.8685167 7.6118213),Senehun,Bo,Southern,SIERRA LEONE,node/2165420262,hamlet,Bagbo,SLE030102,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.52,POINT (-11.9197704 7.6231269),Sembehun,Bo,Southern,SIERRA LEONE,node/2165420328,hamlet,Bagbo,SLE030102,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.53,POINT (-11.9568727 7.5389599),,Bo,Southern,SIERRA LEONE,node/2175029584,village,Bagbo,SLE030102,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.54,POINT (-11.9660351 7.5406694),Fula,Bo,Southern,SIERRA LEONE,node/2175029637,village,Bagbo,SLE030102,SLE0301,SLE03,SLE
sle_stle_pt_osm_settlements.55,POINT (-11.9334422 7.5480501),Lago,Bo,Southern,SIERRA LEONE,node/2175029661,hamlet,Bagbo,SLE030102,SLE0301,SLE03,SLE
